Date,Description,Debit,Credit,Balance
29/01/2025,Visa Purchase O/Seas          26Jan Usd4.12 Sq *Reveille Coffee,6.56,,1596.35,
24/01/2025,Visa Purchase                 20Jan Jetstar Airways      Barangaro,4.00,,1602.91,
22/01/2025,Visa Purchase                 19Jan Mcdonalds Queanbeyan Queanbeya,4.00,,1606.91,
21/01/2025,Visa Purchase                 18Jan Melted Toasties      Fyshwick,10.09,,1610.91,
21/01/2025,Visa Purchase                 19Jan Liquorland 3669      Manuka,10.00,,1621.00,
21/01/2025,Visa Purchase                 19Jan Coles 0859           Manuka,6.20,,1631.00,
20/01/2025,Visa Purchase                 17Jan Act Furniture And Ap Fyshwick,50.00,,1637.20,
20/01/2025,Eftpos Debit                  20Jan15:44 Hungry Jacks          Mascot          Au,27.80,,1687.20,
20/01/2025,Internet Deposit              20Jan10:11 From 0000433593770,,1500.00,1715.00,
17/01/2025,Internet Deposit              17Jan16:09 From 0000433593770,,200.00,215.00,
